Ville,Prix m² moyen maison,Prix m² moyen appartement,Postcode
Paris 1er,14 869 €/m²,13 532 €/m²,75001
Paris 2ème,13 501 €/m²,12 246 €/m²,75002
Paris 3ème,14 198 €/m²,12 910 €/m²,75003
Paris 4ème,14 858 €/m²,13 502 €/m²,75004
Paris 5ème,14 533 €/m²,13 224 €/m²,75005
Paris 6ème,16 862 €/m²,15 334 €/m²,75006
Paris 7ème,15 892 €/m²,14 466 €/m²,75007
Paris 8ème,14 366 €/m²,13 062 €/m²,75008
Paris 9ème,12 696 €/m²,11 535 €/m²,75009
Paris 10ème,11 442 €/m²,10 389 €/m²,75010
Paris 11ème,11 804 €/m²,10 701 €/m²,75011
Paris 12ème,10 940 €/m²,9 928 €/m²,75012
Paris 13ème,10 918 €/m²,9 898 €/m²,75013
Paris 14ème,11 644 €/m²,10 580 €/m²,75014
Paris 15ème,11 707 €/m²,10 653 €/m²,75015
Paris 16ème,12 981 €/m²,11 791 €/m²,75016
Paris 17ème,12 253 €/m²,11 132 €/m²,75017
Paris 18ème,10 895 €/m²,9 924 €/m²,75018
Paris 19ème,9 643 €/m²,8 762 €/m²,75019
Paris 20ème,9 995 €/m²,9 108 €/m²,75020
